Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1455546089.502044,264.035740,62.075553,17.922824,2.230104,1.315330,269.195440,50.119019,11.985165,2.461887,0.893824,0.188180,0.078866,0.046993,0.025075,0.048646,6.239626,0.883782,0.557560,1.017926,0.656422,83.234987,4.019578,1.075884,1.537027,0.812856
1455546090.002043,10042.787932,1612.085153,1201.170187,322.384069,93.606770,9431.809288,747.386105,811.566050,258.765784,72.298193,39.015801,30.271601,21.751688,7.821175,1.845486,82.388474,35.891111,15.266459,6.128486,5.576684,688.535530,166.936098,113.331234,8.917288,6.169674
1455546090.502043,121551.337092,13062.406093,11040.032043,4482.407992,1021.752499,120951.522707,9369.694654,9001.180079,4321.674981,1033.808176,5986.868559,1811.245966,1239.139252,725.593237,766.311935,31043.894827,3680.060418,7280.199528,1379.632238,493.870042,20237.626017,2855.114083,1940.935897,461.352181,316.673497
1455546091.002077,146167.454976,42883.567035,19430.663162,7142.575193,1805.424294,150270.610770,41813.427060,17166.382679,8416.994464,2088.192491,43826.780855,22105.590634,12918.422853,4608.926499,3345.168769,194725.894224,65131.750683,64575.134340,8729.761507,3997.831565,51394.285018,10474.122451,5274.544104,1278.555877,1093.966405
1455546091.502052,205105.308475,84389.218010,39831.349756,6875.174815,2207.586686,175354.252778,74110.378441,34494.081156,9229.581593,1858.615958,135053.570695,36973.639487,11959.240887,6192.215060,2449.268195,262484.915420,93403.951637,46103.513600,7453.842806,4395.296629,110088.923349,8380.411987,5053.605687,2492.638889,1084.533259
1455546092.002076,189769.455953,49948.417141,38212.002781,11033.766610,2698.701201,182344.885279,77003.813570,42876.253511,10200.605561,3484.511365,164327.902322,31196.931619,10922.995627,4931.852550,2235.037815,117665.917301,40186.308791,13242.384181,5329.232290,2845.099897,119523.124748,13192.487456,14009.607301,5415.580809,1740.935447
1455546092.502071,146511.945806,76690.838572,50298.323859,26169.861695,4950.234952,201259.207878,191685.222621,74458.493733,11335.488719,6120.678153,102744.201626,41901.972990,37891.851010,7316.822261,2737.389625,94319.442161,60250.229179,21701.797776,7623.406818,3224.083644,106267.839758,47467.091263,40879.327692,10471.658165,4028.316895
1455546093.002055,129254.421834,70920.133746,32924.029519,15670.565223,5347.890609,128418.346709,78463.749324,26269.397365,7730.267485,3111.555035,47844.113152,18867.612920,21302.186834,9014.909034,4080.584497,63593.616579,50831.014160,12564.745016,5053.861059,1823.897340,92040.514475,33713.870077,23054.762949,8662.212369,4095.992379
1455546093.502052,59750.450346,37001.104032,13696.527675,6091.346692,2929.829458,84402.409167,35359.079038,15655.831032,4766.094560,3129.822665,37107.249638,10838.556485,11445.332572,12793.613684,4194.336693,17160.146582,9176.542327,2857.319144,1279.474040,337.187395,70858.622665,18026.300748,4360.529473,3194.110472,1295.336650
1455546094.001653,45637.160333,37954.689929,26635.096337,5069.615190,2521.368670,98484.818318,43427.309152,24087.523037,7564.881183,2750.579608,65857.232430,41985.239716,10893.505151,12886.338879,3697.540767,44967.663259,41500.879990,10287.433817,7017.056449,2075.692414,73970.562342,52063.283325,14278.030547,6316.858880,3706.165303
1455546094.502040,140995.119422,75804.859346,71790.981891,5387.096955,2734.905749,217167.953458,88586.512505,26643.966248,5493.812025,3236.820039,82207.522720,54446.304263,5439.982408,7652.847360,3315.519260,87821.749645,49148.633706,16327.240871,9531.610419,2382.542602,194146.905284,64671.290247,15930.489807,12484.864375,6261.282023
1455546095.002044,158667.203260,30062.469935,20902.286337,1864.778840,917.626436,183445.019944,59370.297742,15399.307109,1873.966382,1167.403932,23754.449483,13308.596232,2003.239666,1848.510029,694.283874,44919.592660,21533.158697,7582.725240,2353.321469,897.024965,134477.791508,25557.528090,12617.720535,6643.483677,2215.077998
